;Name;Year;Available.Pedigree
711;V0711;1975;V1276 X NA
712;V0712;1994;NA X NA
713;V0713;1984;V0710 X V0005
714;V0714;1997;V0317 X NA
715;V0715;2010;V0066 X V0666
716;V0716;1911;NA X NA
717;V0717;1976;NA X NA
718;V0718;2004;V0983 X V0749
719;V0719;1916;NA X V0514
720;V0720;1968;NA X NA
721;V0721;1950;V1245 X V0514
722;V0722;1981;V0280 X V0752
723;V0723;2014;V0796 X V0135
724;V0724;1996;NA X NA
725;V0725;1995;V0090 X NA
726;V0726;1969;NA X NA
727;V0727;2015;NA X NA
728;V0728;1965;NA X NA
729;V0729;2008;V0084 X NA
730;V0730;2005;NA X NA
731;V0731;1981;V0560 X V0512
732;V0732;1981;NA X V0474
733;V0733;2004;V0245 X NA
734;V0734;1953;V0386 X NA
735;V0735;2006;V0317 X V0425
736;V0736;1946;NA X V0211
737;V0737;1891;V1245 X NA
738;V0738;1894;V0495 X NA
739;V0739;2008;V1159 X V0662
740;V0740;1750;NA X NA
741;V0741;2014;V1015 X V0266
742;V0742;1996;NA X NA
743;V0743;2006;V1027 X NA
744;V0744;1900;NA X NA
745;V0745;1978;V1132 X V1118
746;V0746;1975;V0566 X V0856
747;V0747;1967;V0047 X NA
748;V0748;1890;NA X NA
749;V0749;1990;V1042 X V0336
750;V0750;1997;V0292 X NA
751;V0751;2001;V1163 X V0922
752;V0752;1963;V1264 X V1058
753;V0753;1932;NA X V0700
754;V0754;1950;NA X NA
755;V0755;1978;V0324 X V0766
756;V0756;1987;NA X NA
757;V0757;1983;V0897 X V0856
758;V0758;1961;NA X NA
759;V0759;2012;NA X NA
760;V0760;1968;V0439 X V0503
761;V0761;1947;V0462 X V0039
762;V0762;2013;V0882 X V0072
763;V0763;1923;NA X NA
764;V0764;2016;NA X NA
765;V0765;1967;NA X NA
766;V0766;1968;NA X NA
767;V0767;1840;NA X NA
768;V0768;1998;V0317 X NA
769;V0769;2008;V0983 X NA
770;V0770;2013;NA X NA
771;V0771;2014;NA X NA
772;V0772;1946;NA X NA
773;V0773;2016;V0619 X V0983
774;V0774;1980;V0926 X NA
775;V0775;2012;NA X NA
776;V0776;1957;NA X V0994
777;V0777;1750;NA X NA
778;V0778;1987;V0809 X V1208
779;V0779;2000;V0317 X V1033
780;V0780;2011;NA X V1015
781;V0781;1949;NA X NA
782;V0782;1971;V1156 X NA
783;V0783;2002;NA X NA
784;V0784;1991;NA X NA
785;V0785;2006;NA X NA
786;V0786;1999;V0317 X NA
787;V0787;1965;NA X NA
788;V0788;2021;NA X NA
789;V0789;2014;V0138 X NA
790;V0790;1914;NA X NA
791;V0791;1930;V1262 X NA
792;V0792;1955;V0842 X NA
793;V0793;2010;V1015 X V0167
794;V0794;1997;V0276 X NA
795;V0795;2017;V0395 X NA
796;V0796;1999;NA X V0296
797;V0797;1946;NA X V1058
798;V0798;2020;NA X NA
799;V0799;1980;NA X NA
800;V0800;1981;NA X NA
801;V0801;2001;V0005 X NA
802;V0802;2009;NA X NA
803;V0803;2010;NA X NA
804;V0804;2015;NA X NA
805;V0805;1998;V1198 X NA
806;V0806;2009;V0352 X NA
807;V0807;1918;V0616 X NA
808;V0808;2013;V1247 X NA
809;V0809;1962;V0880 X NA
810;V0810;2002;NA X V0175
811;V0811;1750;NA X NA
812;V0812;2002;V1193 X NA
813;V0813;1920;NA X NA
814;V0814;1878;V0894 X V1245
815;V0815;2003;V0317 X V1144
816;V0816;2009;V0267 X V0410
817;V0817;2014;NA X V0858
818;V0818;1986;NA X NA
819;V0819;2003;NA X V0619
820;V0820;2008;V1193 X NA
821;V0821;2007;NA X NA
822;V0822;2013;V1198 X V0044
823;V0823;1974;NA X NA
824;V0824;2007;NA X V0909
825;V0825;1984;NA X V0276
826;V0826;1989;V1191 X V1125
827;V0827;1966;NA X V0211
828;V0828;1853;NA X NA
829;V0829;2007;V0010 X V1238
830;V0830;1951;NA X NA
831;V0831;2019;NA X NA
832;V0832;1981;NA X V0557
833;V0833;1996;V0317 X NA
834;V0834;2005;NA X V0317
835;V0835;2008;NA X NA
836;V0836;2015;NA X NA
837;V0837;NA;V1015 X V0382
838;V0838;NA;NA X NA
839;V0839;2003;NA X NA
840;V0840;1989;NA X NA
841;V0841;1997;V0470 X NA
842;V0842;1930;V1073 X NA
843;V0843;1965;NA X V0047
844;V0844;2003;V0072 X NA
845;V0845;1981;V0256 X V0747
846;V0846;1921;V0002 X NA
847;V0847;1976;NA X V0797
848;V0848;1977;V0329 X V0879
849;V0849;2017;V0267 X NA
850;V0850;1955;V0040 X V1138
